id_viaje;id_usuario;estacion_origen;estacion_destino;fecha_inicio;fecha_fin;duracion_min;costo;edad_usuario;tipo_bici
1002;U-0231;chapinero ;Usaquen;03/08/2026 7:12;3/08/2026 7:41;29;3500;280;mecánica
1003;U-0987;CHAPINERO;Suba;2026-08-03;3/08/2026 7:50;15;3500;310;electrica
1004;;Teusaquillo;Teusaquillo;2026-08-04 18:22;4/08/2026 18:23;10;0;450;mecanica
1005;U-0442;Kennedy;Chapinero;2026-08-05 06:58;5/08/2026 9:44;16,6;12500;19;electrica
1006;U-0442;Kennedy;Chapinero;2026-08-05 06:58;5/08/2026 9:44;16,6;12500;;electrica
1007;U-1120;Suba;;2026-08-06 12:30;;;;220;mecanica
1009;U-0075;Usaquén;Chapinero;2026-08-07 19:10;7/08/2026 19:33;23;3500;;electrica
1010;U-0663;Ch@pinero;Kennedy;2026-13-08 14:00;8/08/2026 14:35;35;3500;340;mecanica
1011;U-0663;Kennedy;Kennedy;2026-08-09 05:00;9/08/2026 21:00;96;3500;340;mecanica
1012;U-0301;Fontibón;Suba;2026-08-10 16:40;10/08/2026 17:05;25;3500;170;electrica
